deltaG,solute,solvent
-11.01,CN(C)C(=O)c1ccc(cc1)OC,O
-4.87,CS(=O)(=O)Cl,O
1.83,CC(C)C=C,O
-5.45,CCc1cnccn1,O
-4.21,CCCCCCCO,O
-6.27,Cc1cc(cc(c1)O)C,O
2.34,CC(C)C(C)C,O
-3.92,CCCC(C)(C)O,O
1.58,C[C@@H]1CCCC[C@@H]1C,O
-4.62,CC[C@H](C)O,O
-1.96,C(Br)Br,O
-3.88,CC[C@H](C(C)C)O,O
-4.33,CCc1ccccn1,O
-2.49,CCCCC(=O)OCC,O
-2.55,c1ccc(cc1)S,O
-4.78,CC(=CCC/C(=C\CO)/C)C,O
-1.46,c1ccc2c(c1)CCC2,O
-2.22,CCOc1ccccc1,O
-5.85,c1cc(ccc1O)Br,O
2.88,CCCC(C)(C)C,O
-6.34,CC(=O)OCCOC(=O)C,O
-6.1,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,O
-5.48,C1CCCC(CC1)O,O
-4.1,COC(=O)C1CC1,O
-4.1,c1ccc(cc1)C#N,O
-3.52,CCCCC#N,O
-4.47,CC(C)(C)O,O
-2.74,CC(C)C(=O)C(C)C,O
-3.43,CCC=O,O
-7.81,CN(C)C=O,O
-0.8,Cc1ccc(cc1)C,O
0.93,C=CCC=C,O
-6.78,Cc1cccc(c1C)Nc2ccccc2C(=O)O,O
-9.29,CN(C)C(=O)c1ccccc1,O
-4.07,CCNCC,O
-5.91,CC(C)(C)c1ccc(cc1)O,O
-2.13,CC(C)CCOC=O,O
-3.64,CCCCCCCCCCO,O
-2.68,CCC(=O)OCC,O
3.13,CCCCCCCCC,O
-10.0,CC(=O)NC,O
2.06,CCCCCCCC=C,O
-8.11,c1ccc2cc(ccc2c1)O,O
-1.12,c1cc(c(cc1Cl)Cl)Cl,O
-23.62,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,O
-2.83,CCCC(=O)OC,O
-4.68,c1ccc(c(c1)C=O)O,O
-5.56,C1CNC1,O
-3.65,CCCNCCC,O
-5.49,c1ccc(cc1)N,O
3.12,C(F)(F)(F)F,O
-4.42,CC[C@@H](C)CO,O
-6.2,c1ccc(c(c1)O)I,O
-6.96,COc1cccc(c1O)OC,O
-0.16,CCC#C,O
-0.25,c1ccc(cc1)C(F)(F)F,O
-9.3,NN,O
-4.63,Cc1ccccn1,O
-10.22,CCNc1nc(nc(n1)Cl)NCC,O
-3.56,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,O
-3.65,CCCCCCCCN,O
-4.29,N,O
1.07,c1ccc(c(c1)C(F)(F)F)C(F)(F)F,O
-9.51,COC(=O)c1ccc(cc1)O,O
-0.23,CCCCCc1ccccc1,O
-0.11,CC(F)F,O
-16.43,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,O
0.56,C=CC=C,O
-3.2,CN(C)C,O
-9.31,CCCCCC(=O)N,O
-1.88,CC(C)CO[N+](=O)[O-],O
-14.21,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,O
-8.18,C(CO[N+](=O)[O-])O,O
-2.88,CCCCCCC(=O)C,O
-7.77,CN1CCNCC1,O
-4.5,CCN,O
-0.99,C1C=CC=CC=C1,O
-3.78,c1ccc2c(c1)Cc3ccccc3C2,O
-0.84,CC(Cl)Cl,O
