solvent,solute,deltaG,logK
CCC(C)O,[He],0.09229,-1.56
CCC(C)O,[Ne],0.08341,-1.41
CCC(C)O,[Ar],0.03609,-0.61
CCC(C)O,[Kr],0.01006,-0.17
CCC(C)O,[Xe],-0.02307,0.39
CCC(C)O,[Rn],-0.048510000000000005,0.82
CCC(C)O,[HH],0.06744,-1.14
CCC(C)O,O=O,0.039639999999999995,-0.67
CCC(C)O,N#N,0.053239999999999996,-0.9
CCC(C)O,[C-]#[O+],0.04555,-0.77
CCC(C)O,C(=O)=O,-0.0142,0.24
CCC(C)O,C,0.018340000000000002,-0.31
CCC(C)O,CC,-0.026619999999999998,0.45
CCC(C)O,CC(C)C,-0.0775,1.31
CCC(C)O,CCCCC,-0.11477000000000001,1.94
CCC(C)O,C1CCCCC1,-0.15796,2.67
CCC(C)O,C=C,-0.018930000000000002,0.32
CCC(C)O,CC=C,-0.057379999999999994,0.97
CCC(C)O,C/C=C/C,-0.09229,1.56
CCC(C)O,C/C=C\C,-0.09584,1.62
CCC(C)O,C=CC=C,-0.08992,1.52
CCC(C)O,C(F)(F)(F)F,0.04378,-0.74
CCC(C)O,CCCl,-0.10471,1.77
CCC(C)O,CC(F)F,-0.057379999999999994,0.97
CCC(C)O,COC,-0.09111,1.54
CCC(C)O,CCCOCCC,-0.17984,3.04
CCC(C)O,CC(C)OC(C)C,-0.16269,2.75
CCC(C)O,CCC(=O)C,-0.18044000000000002,3.05
CCC(C)O,CCCC#N,-0.19818,3.35
CCC(C)O,CCN(CC)CC,-0.20883000000000002,3.53
CCC(C)O,CO,-0.19463,3.29
CCC(C)O,CCCCO,-0.26444,4.47
CCC(C)O,FS(F)(F)(F)(F)F,0.01124,-0.19
CCC(C)O,c1ccccc1,-0.16387000000000002,2.77
CCC(C)O,c1ccc(cc1)Cl,-0.22066,3.73
CCC(C)O,c1ccncc1,-0.24433000000000002,4.13
CCC(C)O,CCC=C,-0.08637,1.46
CCC(C)O,CC(=C)C,-0.08637,1.46
CCC(C)O,CCCCCl,-0.1615,2.73
CCC(C)O,[2H][2H],0.06685,-1.13
CCC(C)O,CC(C)CO,-0.25793,4.36
CCC(C)O,CCC(C)O,-0.24195999999999998,4.09
CCC(C)O,CCCCBr,-0.18162,3.07
CCC(C)O,Cc1ccccn1,-0.2603,4.4
CCC(C)O,CCCCCCCCCCCCCCCCCCCCCCC,-0.61112,10.33
CCC(CC)O,CCC,-0.05798,0.98
CCC(CC)O,CCCC,-0.08992,1.52
CCC(CC)O,CC(C)C,-0.07927000000000001,1.34
CCC(CC)O,CC=C,-0.05679,0.96
CCC(CC)O,C/C=C/C,-0.09347000000000001,1.58
CCC(CC)O,C/C=C\C,-0.09584,1.62
CCC(CC)O,C=CC=C,-0.09051000000000001,1.53
CCC(CC)O,CCCl,-0.10471,1.77
CCC(CC)O,CC(F)F,-0.053829999999999996,0.91
CCC(CC)O,COC,-0.09465,1.6
CCC(CC)O,CCC=C,-0.08696,1.47
CCC(CC)O,CC(=C)C,-0.08696,1.47
CCCCCCCCCCC,[He],0.0917,-1.55
CCCCCCCCCCC,[Ne],0.08223,-1.39
CCCCCCCCCCC,[Ar],0.03135,-0.53
CCCCCCCCCCC,[Kr],0.00355,-0.06
CCCCCCCCCCC,[Xe],-0.03254,0.55
CCCCCCCCCCC,[HH],0.06508,-1.1
CCCCCCCCCCC,O=O,0.03431,-0.58
CCCCCCCCCCC,N#N,0.048510000000000005,-0.82
CCCCCCCCCCC,[C-]#[O+],0.04437,-0.75
CCCCCCCCCCC,C,0.01183,-0.2
CCCCCCCCCCC,CCCCCC,-0.17156,2.9
CCCCCCCCCCC,C(F)(F)(F)F,0.04023,-0.68
CCCCCCCCCCC,C(Cl)(Cl)Cl,-0.14967,2.53
CCCCCCCCCCC,C(Cl)(Cl)(Cl)Cl,-0.15855,2.68
CCCCCCCCCCC,FS(F)(F)(F)(F)F,0.00059,-0.01
CCCCCCCCCCC,c1ccccc1,-0.16742,2.83
CCCCCCCCCCC,Cc1ccccc1,-0.20055,3.39
CCCCCCCCCCC,CCc1ccccc1,-0.22776,3.85
CCCCCCCCCCC,c1ccc(cc1)Cl,-0.21416,3.62
CCCCCCCCCCC,CCCCCCCCCC,-0.29343,4.96
CCCCCCCCCCC,C(CCl)Cl,-0.15263,2.58
CCCCCCCCCCC,C=CC=O,-0.1195,2.02
CCCCCCCCCCC,CC(Cl)(Cl)Cl,-0.15559,2.63
CCCCCCCCCCC,CC(Cl)Cl,-0.12423,2.1
CCCCCCCCCCC,CC(CCl)Cl,-0.15796,2.67
CCCCCCCCCCC,C(=C(Cl)Cl)Cl,-0.1621,2.74
CCCCCCCCCCC,C(=C(Cl)Cl)(Cl)Cl,-0.19108,3.23
CCCCCCCCCCC,c1ccc(cc1)[N+](=O)[O-],-0.26385,4.46
CCCCCCCCCCC,CCCCCCCCCCC,-0.32419000000000003,5.48
CCCCCCCCCCC,CCCCCCCCCCCC,-0.35496,6.0
CCCCCCCCCCC,c1ccc(c(c1)Cl)Cl,-0.25734,4.35
CCCCCCCCCCC,C(C(Cl)Cl)(Cl)Cl,-0.22007,3.72
CCCCCCCCCCC,C(=C/Cl)\Cl,-0.14908,2.52
CCCCCCCCCCC,C(Br)(Br)Br,-0.20883000000000002,3.53
CCCCCCCCCCC,C(CCl)OCCCl,-0.25024,4.23
CCCCCCCCCCC,C(CCl)OOOCCCl,-0.3733,6.31
CCCCCCCCCCC,C=CC#N,-0.0846,1.43
CCCCCCCCCCC,CC(=O)OCc1ccco1,-0.25675,4.34
CCCCC(CCC)O,CCCCC(CCC)O,-0.32761999999999997,5.537999999999999
c1ccncc1,[HH],0.0775,-1.31
c1ccncc1,O=O,0.0507,-0.857
c1ccncc1,N#N,0.06638,-1.122
c1ccncc1,[N-]=[N+]=O,-0.03141,0.531
c1ccncc1,[C-]#[O+],0.055139999999999995,-0.932
c1ccncc1,C(=O)=O,-0.03277,0.5539999999999999
c1ccncc1,C,0.027860000000000003,-0.47100000000000003
c1ccncc1,CCCCC,-0.11359000000000001,1.92
c1ccncc1,CCCCCC,-0.14009000000000002,2.3680000000000003
c1ccncc1,CCCC(C)C,-0.13086,2.2119999999999997
c1ccncc1,CCCCCCC,-0.16735999999999998,2.8289999999999997
c1ccncc1,CC(C)CC(C)C,-0.14624,2.472
c1ccncc1,CCCCCCCC,-0.19422,3.283
c1ccncc1,CC(C)C(C)C(C)C,-0.17955,3.035
c1ccncc1,CCCCCCCCC,-0.22055,3.728
c1ccncc1,C1CCCCC1,-0.16109,2.7230000000000003
c1ccncc1,CCC1CCCCC1,-0.20551999999999998,3.4739999999999998
c1ccncc1,C(Cl)(Cl)Cl,-0.20073,3.3930000000000002
c1ccncc1,C1CCOC1,-0.18842,3.185
c1ccncc1,C1COCCO1,-0.22546,3.8110000000000004
c1ccncc1,CC(=O)C,-0.1731,2.926
